Date,AAPL,AMZN,BA,BRK-B,GLD,JNJ,JPM,MSFT,PG,XOM
2020-01-03,-0.009721928482105957,-0.012139034655920922,-0.001680016725565392,-0.009676460089203642,0.013268521727000326,-0.011577946826013652,-0.013196416281606949,-0.012451549867722678,-0.0067254972347030595,-0.008039598232626566
2020-01-06,0.00796824831658638,0.01488557393050649,0.002944999944185067,0.0035812752834594175,0.010489502076611812,-0.0012476452843062091,-0.0007951185101341407,0.002584769660608499,0.0013867150067370382,0.007678039177550167
2020-01-07,-0.004703290772762325,0.0020916204156393725,0.010607092373679627,-0.004713896199500134,0.003935150508558971,0.006106875713008053,-0.017000618491498254,-0.00911786928981051,-0.006191415537700307,-0.008184182149509556
2020-01-08,0.016086547876254187,-0.007808640261289357,-0.01752258018477737,0.00030987661466963523,-0.007501524641443713,-0.00013798577349766195,0.007800808111586788,0.015928459617884583,0.004262550214498839,-0.0150802040606407
2020-01-09,0.021240549916785145,0.0047991747864684076,0.014998364848977763,0.011770380718897577,-0.005651653463197515,0.0029668216501053113,0.0036514887537808516,0.012492972093223642,0.01093793869431825,0.007655879071365446
2020-01-10,0.002260887253606736,-0.009410596802031268,-0.01908779879963529,-0.008878193017647362,0.006026192495848015,-0.002269937780482678,-0.009968041911355696,-0.004627294828688733,0.000968837201561934,-0.008888034863812067
2020-01-13,0.021364093412312046,0.004322578245699482,0.0009092873297715798,0.008075200205120314,-0.007419483430124996,0.00441198159936107,0.008304515178148675,0.012024699122951565,0.0073405760254152685,0.009546221501662844
2020-01-14,-0.013502950428369798,-0.011558211718052602,0.006450242408184703,-0.005602971312741456,-0.0008915435213457945,0.0056281492474838934,0.011661689011322585,-0.007043210828928004,-0.001521363790141339,-0.00859610934063837
2020-01-15,-0.004285749135081396,-0.003969126548924895,-0.007672616553080935,0.005194382814990961,0.005834242779070742,0.0033442189802446176,-0.0149853948573766,0.006476415362861143,0.010185118795377424,-0.001589644792364453
2020-01-16,0.01252649078018675,0.00854991102959346,0.006670688521953183,0.006043308899224886,-0.0015695082440052577,0.008094525117013252,0.0038763414035296595,0.01832315511883187,0.0008732002950193607,-0.00390799440267342
2020-01-17,0.011071335880487476,-0.00703966144232826,-0.023644540100855926,0.002045885297715211,0.0018454259925253513,0.006545339527692651,0.006921771886140515,0.005596904971649108,0.002697149192076198,-0.0037778681641011946
2020-01-21,-0.0067768859788884805,0.014629525206926841,-0.03325622636774106,-0.006820122008006302,0.0010915790702048511,0.00067048850389817,-0.009840733285108927,-0.0035906535432858044,-0.0025317149029834285,-0.014294123271374137
2020-01-22,0.003569228689680237,-0.0023995494624704516,-0.01394515455131018,0.0039801792585656415,0.0003406555206315609,-0.006833499991452663,-0.0011694403502359174,-0.004805016123780148,0.0017447417858580394,-0.005770817643739101
2020-01-23,0.004816165515740822,-0.0015259112256781338,0.028446585370554667,-0.0006969957654432424,0.002248122121045526,0.0018885162275126266,-0.0010241460896834864,0.006155783132050008,-0.004571122598765465,-0.006251124201052671
2020-01-24,-0.0028823526787329357,-0.012172426638861644,0.016551785963208276,-0.01098615493424715,0.005845572586286041,-0.0014136409195549815,-0.02482785406114907,-0.010076939776126226,0.0012000099350319982,-0.006739232258831218
2020-01-27,-0.029405099843066607,-0.01788746376771211,-0.019965897859118065,-0.01943931786231401,0.006825312844883635,0.002899305121879081,-0.008411729643181709,-0.01672317345810337,0.004395235199305958,-0.023824161512104203
2020-01-28,0.028289174034631603,0.01362436592451366,-0.00012634551182533205,0.00710272804104517,-0.008926785569624784,0.005041763175770431,0.018177606248025224,0.019595905115191492,0.0027049208671272584,-0.0013899843383812227
2020-01-29,0.02093211247691662,0.0025630978623367717,0.01724780823933081,0.002097938772771979,0.005417872354848807,0.006956559874327972,-0.0014874391796854125,0.015592750160674296,-0.007696497944935543,-0.008352927142422195
2020-01-30,-0.001448722248640233,0.006824489189870775,0.0039749117716398885,0.015055701037026692,6.732120695107646e-05,-0.0011954015555722952,0.01236673331534921,0.028207779679525036,0.007116735541732755,0.010606863766636776
2020-01-31,-0.044338771236234864,0.07379135586484753,-0.015558287745142119,-0.015139600373474726,0.005792420039608892,-0.009910027107341568,-0.025976778155351044,-0.014758748889462714,-0.010559949362610066,-0.0412099381105806
2020-02-03,-0.0027462663978620183,-0.0022501685803328897,-0.0071322689958165375,-0.004277465073328934,-0.006495688802043542,0.00873233255988981,0.007630485828777678,0.024378538589669985,0.003931789946287623,-0.022376169112813704
