Date,AAPL,AMZN,BA,BRK-B,GLD,JNJ,JPM,MSFT,PG,XOM
2020-01-02,72.40052032470703,94.90049743652344,331.34857177734375,228.38999938964844,143.9499969482422,122.63823699951172,119.03642272949219,152.1583709716797,105.5240249633789,53.30641555786133
2020-01-03,71.69664764404297,93.74849700927734,330.7919006347656,226.17999267578125,145.86000061035156,121.21833801269531,117.46556854248047,150.26376342773438,104.81432342529297,52.87785339355469
2020-01-06,72.2679443359375,95.14399719238281,331.7660827636719,226.99000549316406,147.38999938964844,121.06710052490234,117.3721694946289,150.65216064453125,104.95967102050781,53.283851623535156
2020-01-07,71.92804718017578,95.34300231933594,335.28515625,225.9199981689453,147.97000122070312,121.80644226074219,115.37677001953125,149.27853393554688,104.30982208251953,52.8477668762207
2020-01-08,73.08512115478516,94.59850311279297,329.41009521484375,225.99000549316406,146.86000061035156,121.78963470458984,116.27680206298828,151.65631103515625,104.75444793701172,52.050811767578125
2020-01-09,74.63748931884766,95.05249786376953,334.3507080078125,228.64999389648438,146.02999877929688,122.15096282958984,116.70138549804688,153.5509490966797,105.9002456665039,52.44930648803711
2020-01-10,74.80623626708984,94.15799713134766,327.96868896484375,226.6199951171875,146.91000366210938,121.87368774414062,115.53810119628906,152.84042358398438,106.00284576416016,51.98313522338867
2020-01-13,76.40440368652344,94.56500244140625,328.26690673828125,228.4499969482422,145.82000732421875,122.41139221191406,116.49758911132812,154.67828369140625,106.78096771240234,52.47937774658203
2020-01-14,75.37271881103516,93.47200012207031,330.3843078613281,227.1699981689453,145.69000244140625,123.100341796875,117.85614776611328,153.58885192871094,106.61851501464844,52.02825927734375
2020-01-15,75.04969024658203,93.10099792480469,327.8493957519531,228.35000610351562,146.5399932861328,123.51201629638672,116.09002685546875,154.58355712890625,107.70443725585938,51.945552825927734
2020-01-16,75.98979949951172,93.89700317382812,330.036376953125,229.72999572753906,146.30999755859375,124.51178741455078,116.54003143310547,157.416015625,107.7984848022461,51.742549896240234
2020-01-17,76.83110809326172,93.23600006103516,322.2328186035156,230.1999969482422,146.5800018310547,125.3267593383789,117.34669494628906,158.29705810546875,108.0892333984375,51.54707336425781
2020-01-21,76.31043243408203,94.5999984741211,311.5165710449219,228.6300048828125,146.74000549316406,125.4107894897461,116.1919174194336,157.72866821289062,107.81558227539062,50.81025314331055
2020-01-22,76.58280181884766,94.37300109863281,307.17242431640625,229.5399932861328,146.7899932861328,124.55379486083984,116.05603790283203,156.9707794189453,108.00369262695312,50.51703643798828
2020-01-23,76.9516372680664,94.22899627685547,315.9104309082031,229.3800048828125,147.1199951171875,124.78901672363281,115.93717956542969,157.9370574951172,107.50999450683594,50.20124816894531
2020-01-24,76.7298355102539,93.08200073242188,321.1393127441406,226.86000061035156,147.97999572753906,124.61260986328125,113.05870819091797,156.3455352783203,107.63900756835938,49.86293029785156
2020-01-27,74.47358703613281,91.41699981689453,314.72747802734375,222.4499969482422,148.99000549316406,124.9738998413086,112.1076889038086,153.73094177246094,108.11210632324219,48.67498779296875
2020-01-28,76.58038330078125,92.6624984741211,314.6877136230469,224.02999877929688,147.66000366210938,125.60398864746094,114.14553833007812,156.74343872070312,108.404541015625,48.607330322265625
2020-01-29,78.1833724975586,92.9000015258789,320.1153869628906,224.5,148.4600067138672,126.4777603149414,113.97575378417969,159.1875,107.57020568847656,48.201316833496094
2020-01-30,78.07010650634766,93.53399658203125,321.3878173828125,227.8800048828125,148.47000122070312,126.32656860351562,115.38526153564453,163.67782592773438,108.33575439453125,48.712581634521484
2020-01-31,74.60857391357422,100.43599700927734,316.3875732421875,224.42999267578125,149.3300018310547,125.07466888427734,112.38792419433594,161.26214599609375,107.19173431396484,46.70513916015625
2020-02-03,74.40367889404297,100.20999908447266,314.1310119628906,223.47000122070312,148.36000061035156,126.16686248779297,113.24549865722656,165.1934814453125,107.61318969726562,45.660057067871094
2020-02-04,76.86002349853516,102.4834976196289,316.0595397949219,225.0800018310547,146.42999267578125,127.36835479736328,114.87580108642578,170.63113403320312,108.08629608154297,45.088645935058594
